Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Test
0,4,3,0,0,0,4,caught,2,v Zimbabwe,Harare,10/18/92,Test # 1197
11,35,24,1,0,45.83,4,run out,2,v South Africa,Durban,11/13/92,Test # 1200
111,373,270,19,0,41.11,4,caught,2,v South Africa,Johannesburg,11/26/92,Test # 1201
1,6,5,0,0,20,4,lbw,4,v South Africa,Johannesburg,11/26/92,Test # 1201
6,27,17,1,0,35.29,4,caught,1,v South Africa,Port Elizabeth,12/26/92,Test # 1206
0,1,1,0,0,0,4,caught,3,v South Africa,Port Elizabeth,12/26/92,Test # 1206
73,272,208,8,1,35.09,5,caught,2,v South Africa,Cape Town,01/02/93,Test # 1209
DNB,-,-,-,-,-,-,-,4,v South Africa,Cape Town,01/02/93,Test # 1209
50,158,118,6,0,42.37,4,caught,1,v England,Kolkata,01/29/93,Test # 1211
9*,17,19,2,0,47.36,4,not out,4,v England,Kolkata,01/29/93,Test # 1211
165,361,296,24,1,55.74,4,caught,1,v England,Chennai,02/11/93,Test # 1213
78,285,213,10,0,36.61,4,lbw,2,v England,Mumbai,02/19/93,Test # 1214
62,128,114,7,0,54.38,4,caught,1,v Zimbabwe,Delhi,03/13/93,Test # 1218
TDNB,-,-,-,-,-,-,-,-,v Sri Lanka,Kandy,07/17/93,Test # 1226
28,74,52,5,0,53.84,4,caught,1,v Sri Lanka,Colombo (SSC),07/27/93,Test # 1228
104*,217,161,11,1,64.59,4,not out,3,v Sri Lanka,Colombo (SSC),07/27/93,Test # 1228
71,202,152,10,0,46.71,4,caught,2,v Sri Lanka,Colombo (PSS),08/04/93,Test # 1229
142,260,224,22,0,63.39,4,caught,1,v Sri Lanka,Lucknow,01/18/94,Test # 1244
96,180,140,15,0,68.57,4,bowled,1,v Sri Lanka,Bangalore,01/26/94,Test # 1245
6,25,14,1,0,42.85,4,bowled,2,v Sri Lanka,Ahmedabad,02/08/94,Test # 1247
43,55,47,7,0,91.48,4,caught,2,v New Zealand,Hamilton,03/19/94,Test # 1255
11*,57,42,0,0,26.19,4,not out,4,v New Zealand,Hamilton,03/19/94,Test # 1255
34,70,43,7,0,79.06,4,lbw,1,v West Indies,Mumbai,11/18/94,Test # 1274
85,178,130,10,1,65.38,5,caught,3,v West Indies,Mumbai,11/18/94,Test # 1274
179,414,322,24,1,55.59,4,caught,1,v West Indies,Nagpur,12/01/94,Test # 1277
54,180,138,3,0,39.13,4,caught,3,v West Indies,Nagpur,12/01/94,Test # 1277
40,72,55,9,0,72.72,4,caught,2,v West Indies,Mohali,12/10/94,Test # 1278
10,38,24,2,0,41.66,4,caught,4,v West Indies,Mohali,12/10/94,Test # 1278
4,7,4,1,0,100,4,caught,2,v New Zealand,Bangalore,10/18/95,Test # 1308
0*,3,0,0,0,-,4,not out,4,v New Zealand,Bangalore,10/18/95,Test # 1308
52*,98,88,5,0,59.09,4,not out,1,v New Zealand,Chennai,10/25/95,Test # 1309
2,8,8,0,0,25,4,bowled,1,v New Zealand,Cuttack,11/08/95,Test # 1310
24,71,41,4,0,58.53,4,bowled,1,v England,Birmingham,06/06/96,Test # 1327
122,263,177,19,1,68.92,4,caught,3,v England,Birmingham,06/06/96,Test # 1327
31,81,59,5,0,52.54,4,bowled,2,v England,Lord's,06/20/96,Test # 1328
177,462,360,26,0,49.16,4,caught,1,v England,Nottingham,07/04/96,Test # 1329
74,111,97,11,1,76.28,4,caught,3,v England,Nottingham,07/04/96,Test # 1329
10,12,11,2,0,90.9,4,caught,2,v Australia,Delhi,10/10/96,Test # 1335
0,6,7,0,0,0,4,bowled,4,v Australia,Delhi,10/10/96,Test # 1335
42,80,64,7,0,65.62,4,caught,1,v South Africa,Ahmedabad,11/20/96,Test # 1338
7,43,33,1,0,21.21,4,caught,3,v South Africa,Ahmedabad,11/20/96,Test # 1338
18,91,62,3,0,29.03,4,bowled,2,v South Africa,Kolkata,11/27/96,Test # 1341
2,28,25,0,0,8,4,caught,4,v South Africa,Kolkata,11/27/96,Test # 1341
61,211,173,4,1,35.26,4,caught,1,v South Africa,Kanpur,12/08/96,Test # 1344
36,129,98,4,0,36.73,5,caught,3,v South Africa,Kanpur,12/08/96,Test # 1344
15,58,45,2,0,33.33,4,bowled,2,v South Africa,Durban,12/26/96,Test # 1347
4,32,25,1,0,16,4,caught,4,v South Africa,Durban,12/26/96,Test # 1347
169,329,254,26,0,66.53,5,caught,2,v South Africa,Cape Town,01/02/97,Test # 1349
9,38,28,1,0,32.14,5,caught,4,v South Africa,Cape Town,01/02/97,Test # 1349
35,72,55,7,0,63.63,4,caught,1,v South Africa,Johannesburg,01/16/97,Test # 1350
9,13,11,2,0,81.81,4,caught,3,v South Africa,Johannesburg,01/16/97,Test # 1350
7,40,30,1,0,23.33,4,bowled,2,v West Indies,Kingston,03/06/97,Test # 1357
15*,43,36,1,0,41.66,4,not out,4,v West Indies,Kingston,03/06/97,Test # 1357
88,306,233,9,0,37.76,4,run out,2,v West Indies,Port of Spain,03/14/97,Test # 1361
92,222,147,14,1,62.58,4,caught,2,v West Indies,Bridgetown,03/27/97,Test # 1363
4,25,14,0,0,28.57,4,caught,4,v West Indies,Bridgetown,03/27/97,Test # 1363
DNB,-,-,-,-,-,-,-,2,v West Indies,St John's,04/04/97,Test # 1364
83,287,231,9,0,35.93,4,caught,1,v West Indies,Georgetown,04/17/97,Test # 1365
143,292,247,20,0,57.89,4,caught,1,v Sri Lanka,Colombo (RPS),08/02/97,Test # 1374
139,397,266,16,0,52.25,4,caught,2,v Sri Lanka,Colombo (SSC),08/09/97,Test # 1376
8,43,44,1,0,18.18,4,caught,4,v Sri Lanka,Colombo (SSC),08/09/97,Test # 1376
23,129,93,2,0,24.73,4,caught,2,v Sri Lanka,Mohali,11/19/97,Test # 1385
15,38,20,1,1,75,4,bowled,1,v Sri Lanka,Nagpur,11/26/97,Test # 1387
148,320,244,20,3,60.65,5,bowled,1,v Sri Lanka,Mumbai,12/03/97,Test # 1390
13,28,16,1,0,81.25,4,caught,3,v Sri Lanka,Mumbai,12/03/97,Test # 1390
4,7,5,1,0,80,4,caught,1,v Australia,Chennai,03/06/98,Test # 1405
155*,286,191,14,4,81.15,4,not out,3,v Australia,Chennai,03/06/98,Test # 1405
79,109,86,12,2,91.86,4,caught,2,v Australia,Kolkata,03/18/98,Test # 1409
177,298,207,29,3,85.5,4,bowled,1,v Australia,Bangalore,03/25/98,Test # 1413
31,75,64,4,0,48.43,4,caught,3,v Australia,Bangalore,03/25/98,Test # 1413
34,103,68,3,0,50,5,caught,2,v Zimbabwe,Harare,10/07/98,Test # 1425
7,27,14,0,0,50,4,caught,4,v Zimbabwe,Harare,10/07/98,Test # 1425
47,95,72,7,0,65.27,5,caught,1,v New Zealand,Wellington,12/26/98,Test # 1435
113,200,151,13,2,74.83,5,caught,3,v New Zealand,Wellington,12/26/98,Test # 1435
67,118,93,9,1,72.04,4,lbw,2,v New Zealand,Hamilton,01/02/99,Test # 1438
DNB,-,-,-,-,-,-,-,4,v New Zealand,Hamilton,01/02/99,Test # 1438
0,5,3,0,0,0,4,caught,2,v Pakistan,Chennai,01/28/99,Test # 1442
136,405,273,18,0,49.81,4,caught,4,v Pakistan,Chennai,01/28/99,Test # 1442
6,13,11,1,0,54.54,4,lbw,1,v Pakistan,Delhi,02/04/99,Test # 1443
29,99,65,4,0,44.61,4,caught,3,v Pakistan,Delhi,02/04/99,Test # 1443
0,2,1,0,0,0,5,bowled,2,v Pakistan,Kolkata,02/16/99,Test # 1444
9,18,13,1,0,69.23,4,run out,4,v Pakistan,Kolkata,02/16/99,Test # 1444
53,94,54,10,0,98.14,4,caught,1,v Sri Lanka,Colombo (SSC),02/24/99,Test # 1445
124*,308,235,10,1,52.76,4,not out,3,v Sri Lanka,Colombo (SSC),02/24/99,Test # 1445
18,61,34,3,0,52.94,4,bowled,1,v New Zealand,Mohali,10/10/99,Test # 1462
126*,397,248,14,0,50.8,4,not out,3,v New Zealand,Mohali,10/10/99,Test # 1462
15,76,54,3,0,27.77,4,caught,2,v New Zealand,Kanpur,10/22/99,Test # 1464
44*,58,39,8,0,112.82,4,not out,4,v New Zealand,Kanpur,10/22/99,Test # 1464
217,494,344,29,0,63.08,4,caught,1,v New Zealand,Ahmedabad,10/29/99,Test # 1465
15,16,10,3,0,150,2,bowled,3,v New Zealand,Ahmedabad,10/29/99,Test # 1465
61,181,133,8,0,45.86,5,caught,2,v Australia,Adelaide,12/10/99,Test # 1476
0,6,5,0,0,0,5,lbw,4,v Australia,Adelaide,12/10/99,Test # 1476
116,283,191,9,1,60.73,4,caught,2,v Australia,Melbourne,12/26/99,Test # 1479
52,162,122,4,0,42.62,4,lbw,4,v Australia,Melbourne,12/26/99,Test # 1479
45,82,53,8,0,84.9,4,lbw,1,v Australia,Sydney,01/02/00,Test # 1481
4,6,4,1,0,100,4,caught,3,v Australia,Sydney,01/02/00,Test # 1481
97,208,163,12,2,59.5,4,caught,1,v South Africa,Mumbai,02/24/00,Test # 1484
8,20,11,2,0,72.72,4,lbw,3,v South Africa,Mumbai,02/24/00,Test # 1484
21,120,76,3,0,27.63,4,caught,1,v South Africa,Bangalore,03/02/00,Test # 1486
20,76,53,2,0,37.73,4,caught,3,v South Africa,Bangalore,03/02/00,Test # 1486
18,63,41,1,0,43.9,5,caught,2,v Bangladesh,Dhaka,11/10/00,Test # 1512
DNB,-,-,-,-,-,-,-,4,v Bangladesh,Dhaka,11/10/00,Test # 1512
122,283,233,19,0,52.36,4,caught,2,v Zimbabwe,Delhi,11/18/00,Test # 1515
39,45,39,8,0,100,4,caught,4,v Zimbabwe,Delhi,11/18/00,Test # 1515
201*,392,281,27,0,71.53,4,not out,1,v Zimbabwe,Nagpur,11/25/00,Test # 1517
76,138,114,13,0,66.66,4,caught,1,v Australia,Mumbai,02/27/01,Test # 1531
65,153,107,11,0,60.74,5,caught,3,v Australia,Mumbai,02/27/01,Test # 1531
10,25,18,2,0,55.55,4,lbw,2,v Australia,Kolkata,03/11/01,Test # 1535
10,26,23,2,0,43.47,4,caught,3,v Australia,Kolkata,03/11/01,Test # 1535
126,346,230,15,2,54.78,4,caught,2,v Australia,Chennai,03/18/01,Test # 1539
17,27,17,3,0,100,4,caught,4,v Australia,Chennai,03/18/01,Test # 1539
74,179,128,12,0,57.81,4,caught,2,v Zimbabwe,Bulawayo,06/07/01,Test # 1548
36*,41,49,4,0,73.46,4,not out,4,v Zimbabwe,Bulawayo,06/07/01,Test # 1548
20,78,46,2,1,43.47,4,bowled,1,v Zimbabwe,Harare,06/15/01,Test # 1549
69,185,135,9,0,51.11,4,caught,3,v Zimbabwe,Harare,06/15/01,Test # 1549
155,233,184,23,1,84.23,4,caught,1,v South Africa,Bloemfontein,11/03/01,Test # 1564
15,60,35,2,0,42.85,4,caught,3,v South Africa,Bloemfontein,11/03/01,Test # 1564
1,10,4,0,0,25,4,caught,2,v South Africa,Port Elizabeth,11/16/01,Test # 1569
22*,54,45,4,0,48.88,4,not out,4,v South Africa,Port Elizabeth,11/16/01,Test # 1569
88,229,144,13,0,61.11,5,caught,2,v England,Mohali,12/03/01,Test # 1574
DNB,-,-,-,-,-,-,-,4,v England,Mohali,12/03/01,Test # 1574
103,254,197,12,1,52.28,4,caught,2,v England,Ahmedabad,12/11/01,Test # 1575
26,87,81,4,0,32.09,4,caught,4,v England,Ahmedabad,12/11/01,Test # 1575
90,263,198,13,0,45.45,4,stumped,2,v England,Bangalore,12/19/01,Test # 1578
176,440,316,23,0,55.69,4,caught,2,v Zimbabwe,Nagpur,02/21/02,Test # 1589
36,124,119,5,0,30.25,4,lbw,2,v Zimbabwe,Delhi,02/28/02,Test # 1591
42,78,52,7,1,80.76,5,lbw,4,v Zimbabwe,Delhi,02/28/02,Test # 1591
79,191,136,13,0,58.08,4,lbw,2,v West Indies,Georgetown,04/11/02,Test # 1598
117,356,260,14,0,45,4,lbw,1,v West Indies,Port of Spain,04/19/02,Test # 1599
0,16,4,0,0,0,4,lbw,3,v West Indies,Port of Spain,04/19/02,Test # 1599
0,4,2,0,0,0,4,caught,1,v West Indies,Bridgetown,05/02/02,Test # 1601
8,32,17,1,0,47.05,4,lbw,3,v West Indies,Bridgetown,05/02/02,Test # 1601
0,2,1,0,0,0,4,caught,1,v West Indies,St John's,05/10/02,Test # 1602
41,94,63,7,0,65.07,4,bowled,2,v West Indies,Kingston,05/18/02,Test # 1604
86,162,139,13,0,61.87,4,bowled,4,v West Indies,Kingston,05/18/02,Test # 1604
16,94,61,2,0,26.22,5,caught,2,v England,Lord's,07/25/02,Test # 1610
12,51,35,2,0,34.28,4,bowled,4,v England,Lord's,07/25/02,Test # 1610
34,90,68,6,0,50,4,bowled,1,v England,Nottingham,08/08/02,Test # 1612
92,160,113,17,0,81.41,4,bowled,3,v England,Nottingham,08/08/02,Test # 1612
193,434,330,19,3,58.48,4,lbw,1,v England,Leeds,08/22/02,Test # 1613
54,114,89,10,0,60.67,4,lbw,2,v England,The Oval,09/05/02,Test # 1614
35,96,88,5,0,39.77,4,caught,1,v West Indies,Mumbai,10/09/02,Test # 1616
43,156,113,5,0,38.05,4,bowled,2,v West Indies,Chennai,10/17/02,Test # 1618
16*,15,20,0,0,80,4,not out,4,v West Indies,Chennai,10/17/02,Test # 1618
36,85,65,7,0,55.38,4,caught,1,v West Indies,Kolkata,10/30/02,Test # 1622
176,419,298,26,0,59.06,4,caught,3,v West Indies,Kolkata,10/30/02,Test # 1622
8,47,26,2,0,30.76,4,lbw,1,v New Zealand,Wellington,12/12/02,Test # 1631
51,120,74,7,0,68.91,4,bowled,3,v New Zealand,Wellington,12/12/02,Test # 1631
9,40,31,1,0,29.03,4,caught,1,v New Zealand,Hamilton,12/19/02,Test # 1633
32,55,48,5,0,66.66,4,bowled,3,v New Zealand,Hamilton,12/19/02,Test # 1633
8,54,38,1,0,21.05,4,caught,1,v New Zealand,Ahmedabad,10/08/03,Test # 1660
7,19,15,0,0,46.66,4,caught,3,v New Zealand,Ahmedabad,10/08/03,Test # 1660
55,238,175,6,0,31.42,4,caught,2,v New Zealand,Mohali,10/16/03,Test # 1662
1,15,10,0,0,10,4,bowled,3,v New Zealand,Mohali,10/16/03,Test # 1662
0,3,3,0,0,0,4,lbw,2,v Australia,Brisbane,12/04/03,Test # 1671
DNB,-,-,-,-,-,-,-,4,v Australia,Brisbane,12/04/03,Test # 1671
1,15,6,0,0,16.66,4,caught,2,v Australia,Adelaide,12/12/03,Test # 1673
37,79,59,5,0,62.71,4,lbw,4,v Australia,Adelaide,12/12/03,Test # 1673
0,3,1,0,0,0,4,caught,1,v Australia,Melbourne,12/26/03,Test # 1678
44,107,79,5,0,55.69,5,caught,3,v Australia,Melbourne,12/26/03,Test # 1678
241*,613,436,33,0,55.27,4,not out,1,v Australia,Sydney,01/02/04,Test # 1680
60*,108,89,5,0,67.41,4,not out,3,v Australia,Sydney,01/02/04,Test # 1680
194*,493,348,21,0,55.74,4,not out,1,v Pakistan,Multan,03/28/04,Test # 1693
2,10,6,0,0,33.33,4,lbw,1,v Pakistan,Lahore,04/05/04,Test # 1695
8,17,11,1,0,72.72,4,lbw,3,v Pakistan,Lahore,04/05/04,Test # 1695
1,6,3,0,0,33.33,4,caught,2,v Pakistan,Rawalpindi,04/13/04,Test # 1697
8,49,36,0,0,22.22,4,lbw,2,v Australia,Nagpur,10/26/04,Test # 1718
2,18,14,0,0,14.28,4,caught,4,v Australia,Nagpur,10/26/04,Test # 1718
5,43,35,0,0,14.28,4,caught,1,v Australia,Mumbai,11/03/04,Test # 1720
55,120,83,6,1,66.26,4,caught,3,v Australia,Mumbai,11/03/04,Test # 1720
3,21,18,0,0,16.66,4,bowled,2,v South Africa,Kanpur,11/20/04,Test # 1722
20,82,54,3,0,37.03,4,bowled,2,v South Africa,Kolkata,11/28/04,Test # 1724
32*,73,64,3,1,50,4,not out,4,v South Africa,Kolkata,11/28/04,Test # 1724
248*,552,379,35,0,65.43,4,not out,2,v Bangladesh,Dhaka,12/10/04,Test # 1725
36,79,55,6,0,65.45,4,lbw,1,v Bangladesh,Chittagong,12/17/04,Test # 1727
94,301,202,11,0,46.53,4,caught,2,v Pakistan,Mohali,03/08/05,Test # 1738
DNB,-,-,-,-,-,-,-,4,v Pakistan,Mohali,03/08/05,Test # 1738
52,147,102,9,0,50.98,4,caught,1,v Pakistan,Kolkata,03/16/05,Test # 1741
52,117,91,9,0,57.14,4,caught,3,v Pakistan,Kolkata,03/16/05,Test # 1741
41,78,71,7,0,57.74,4,caught,2,v Pakistan,Bangalore,03/24/05,Test # 1743
16,140,98,2,0,16.32,4,caught,4,v Pakistan,Bangalore,03/24/05,Test # 1743
22,157,126,2,0,17.46,4,lbw,1,v Sri Lanka,Chennai,12/02/05,Test # 1775
109,310,196,14,1,55.61,4,lbw,1,v Sri Lanka,Delhi,12/10/05,Test # 1776
16,42,28,3,0,57.14,4,lbw,3,v Sri Lanka,Delhi,12/10/05,Test # 1776
23,85,66,2,0,34.84,4,caught,1,v Sri Lanka,Ahmedabad,12/18/05,Test # 1778
19,40,29,3,0,65.51,4,lbw,3,v Sri Lanka,Ahmedabad,12/18/05,Test # 1778
DNB,-,-,-,-,-,-,-,2,v Pakistan,Lahore,01/13/06,Test # 1781
14,64,33,3,0,42.42,4,caught,2,v Pakistan,Faisalabad,01/21/06,Test # 1782
DNB,-,-,-,-,-,-,-,4,v Pakistan,Faisalabad,01/21/06,Test # 1782
23,49,29,5,0,79.31,4,bowled,2,v Pakistan,Karachi,01/29/06,Test # 1783
26,74,47,5,0,55.31,4,bowled,4,v Pakistan,Karachi,01/29/06,Test # 1783
16,84,45,2,0,35.55,4,lbw,2,v England,Nagpur,03/01/06,Test # 1785
28*,38,19,5,0,147.36,6,not out,4,v England,Nagpur,03/01/06,Test # 1785
4,20,15,0,0,26.66,4,caught,2,v England,Mohali,03/09/06,Test # 1788
DNB,-,-,-,-,-,-,-,4,v England,Mohali,03/09/06,Test # 1788
1,33,21,0,0,4.76,4,caught,2,v England,Mumbai,03/18/06,Test # 1791
34,77,57,5,0,59.64,5,caught,4,v England,Mumbai,03/18/06,Test # 1791
44,113,89,7,0,49.43,4,caught,1,v South Africa,Johannesburg,12/15/06,Test # 1823
14,43,22,3,0,63.63,4,bowled,3,v South Africa,Johannesburg,12/15/06,Test # 1823
63,173,115,11,0,54.78,4,caught,2,v South Africa,Durban,12/26/06,Test # 1825
0,13,7,0,0,0,4,lbw,4,v South Africa,Durban,12/26/06,Test # 1825
64,187,130,11,0,49.23,4,caught,1,v South Africa,Cape Town,01/02/07,Test # 1827
14,88,62,1,0,22.58,5,lbw,3,v South Africa,Cape Town,01/02/07,Test # 1827
101,274,169,9,0,59.76,4,caught,1,v Bangladesh,Chittagong,05/18/07,Test # 1832
31,69,50,2,0,62,4,bowled,3,v Bangladesh,Chittagong,05/18/07,Test # 1832
122*,354,226,8,1,53.98,4,not out,1,v Bangladesh,Dhaka,05/25/07,Test # 1833
37,104,78,6,0,47.43,4,lbw,2,v England,Lord's,07/19/07,Test # 1840
16,42,35,3,0,45.71,4,lbw,4,v England,Lord's,07/19/07,Test # 1840
91,259,197,12,0,46.19,4,lbw,2,v England,Nottingham,07/27/07,Test # 1841
1,17,15,0,0,6.66,4,caught,4,v England,Nottingham,07/27/07,Test # 1841
82,298,192,11,0,42.7,4,caught,1,v England,The Oval,08/09/07,Test # 1842
1,13,11,0,0,9.09,4,bowled,3,v England,The Oval,08/09/07,Test # 1842
1,2,1,0,0,100,4,run out,2,v Pakistan,Delhi,11/22/07,Test # 1849
56*,178,110,9,0,50.9,4,not out,4,v Pakistan,Delhi,11/22/07,Test # 1849
82,146,109,12,0,75.22,4,bowled,1,v Pakistan,Kolkata,11/30/07,Test # 1850
DNB,-,-,-,-,-,-,-,3,v Pakistan,Kolkata,11/30/07,Test # 1850
62,113,77,7,1,80.51,4,bowled,2,v Australia,Melbourne,12/26/07,Test # 1855
15,31,21,1,0,71.42,4,caught,4,v Australia,Melbourne,12/26/07,Test # 1855
154*,429,243,14,1,63.37,4,not out,2,v Australia,Sydney,01/02/08,Test # 1857
12,33,16,3,0,75,4,bowled,4,v Australia,Sydney,01/02/08,Test # 1857
71,175,128,9,0,55.46,4,lbw,1,v Australia,Perth,01/16/08,Test # 1862
13,33,25,2,0,52,5,lbw,3,v Australia,Perth,01/16/08,Test # 1862
153,342,205,13,3,74.63,4,caught,1,v Australia,Adelaide,01/24/08,Test # 1863
13,67,36,1,0,36.11,4,run out,3,v Australia,Adelaide,01/24/08,Test # 1863
0,9,5,0,0,0,4,caught,2,v South Africa,Chennai,03/26/08,Test # 1870
27,60,46,3,0,58.69,4,bowled,2,v Sri Lanka,Colombo (SSC),07/23/08,Test # 1882
12,42,30,1,0,40,4,caught,3,v Sri Lanka,Colombo (SSC),07/23/08,Test # 1882
5,5,3,1,0,166.66,4,lbw,1,v Sri Lanka,Galle,07/31/08,Test # 1884
31,54,42,5,0,73.8,4,caught,3,v Sri Lanka,Galle,07/31/08,Test # 1884
6,18,12,0,0,50,4,lbw,1,v Sri Lanka,Colombo (PSS),08/08/08,Test # 1886
14,26,22,1,0,63.63,6,lbw,3,v Sri Lanka,Colombo (PSS),08/08/08,Test # 1886
13,26,18,3,0,72.22,4,caught,2,v Australia,Bangalore,10/09/08,Test # 1887
49,177,126,4,0,38.88,4,caught,4,v Australia,Bangalore,10/09/08,Test # 1887
88,186,111,10,0,79.27,4,caught,1,v Australia,Mohali,10/17/08,Test # 1889
10*,16,12,1,0,83.33,5,not out,3,v Australia,Mohali,10/17/08,Test # 1889
68,188,126,11,0,53.96,4,caught,1,v Australia,Delhi,10/29/08,Test # 1891
47,159,120,4,0,39.16,5,caught,3,v Australia,Delhi,10/29/08,Test # 1891
109,274,188,12,0,57.97,4,lbw,1,v Australia,Nagpur,11/06/08,Test # 1892
12,90,55,1,0,21.81,4,run out,3,v Australia,Nagpur,11/06/08,Test # 1892
37,90,48,4,1,77.08,4,caught,2,v England,Chennai,12/11/08,Test # 1898
103*,317,196,9,0,52.55,4,not out,4,v England,Chennai,12/11/08,Test # 1898
11,45,26,1,0,42.3,4,lbw,1,v England,Mohali,12/19/08,Test # 1901
5,41,22,1,0,22.72,4,caught,3,v England,Mohali,12/19/08,Test # 1901
160,397,260,26,0,61.53,4,caught,2,v New Zealand,Hamilton,03/18/09,Test # 1915
DNB,-,-,-,-,-,-,-,4,v New Zealand,Hamilton,03/18/09,Test # 1915
49,98,65,7,1,75.38,5,caught,2,v New Zealand,Napier,03/26/09,Test # 1917
64,167,131,9,1,48.85,4,caught,3,v New Zealand,Napier,03/26/09,Test # 1917
62,108,85,11,0,72.94,4,caught,1,v New Zealand,Wellington,04/03/09,Test # 1918
9,25,20,0,1,45,4,caught,3,v New Zealand,Wellington,04/03/09,Test # 1918
4,3,3,1,0,133.33,4,bowled,1,v Sri Lanka,Ahmedabad,11/16/09,Test # 1933
100*,298,211,11,0,47.39,5,not out,3,v Sri Lanka,Ahmedabad,11/16/09,Test # 1933
40,122,91,0,1,43.95,4,caught,1,v Sri Lanka,Kanpur,11/24/09,Test # 1935
53,139,103,6,0,51.45,4,bowled,2,v Sri Lanka,Mumbai (BS),12/02/09,Test # 1937
105*,246,166,11,2,63.25,4,not out,1,v Bangladesh,Chittagong,01/17/10,Test # 1949
16,47,26,2,0,61.53,5,lbw,3,v Bangladesh,Chittagong,01/17/10,Test # 1949
143,259,182,13,1,78.57,4,caught,2,v Bangladesh,Dhaka,01/24/10,Test # 1950
DNB,-,-,-,-,-,-,-,4,v Bangladesh,Dhaka,01/24/10,Test # 1950
7,25,16,1,0,43.75,4,caught,2,v South Africa,Nagpur,02/06/10,Test # 1951
100,275,179,13,0,55.86,4,bowled,3,v South Africa,Nagpur,02/06/10,Test # 1951
106,266,206,12,0,51.45,4,caught,2,v South Africa,Kolkata,02/14/10,Test # 1952
8,29,21,1,0,38.09,4,lbw,2,v Sri Lanka,Galle,07/18/10,Test # 1964
84,168,142,11,1,59.15,4,lbw,3,v Sri Lanka,Galle,07/18/10,Test # 1964
203,516,347,23,1,58.5,4,caught,2,v Sri Lanka,Colombo (SSC),07/26/10,Test # 1966
41,88,72,5,0,56.94,4,caught,2,v Sri Lanka,Colombo (PSS),08/03/10,Test # 1968
54,186,122,3,0,44.26,4,caught,4,v Sri Lanka,Colombo (PSS),08/03/10,Test # 1968
